ID,DENSITY,FLUID_ID,GASEOUS,IMAGE_FILE_PATH,INTERNAL_NAME,LOCALIZED_NAME,LUMINOSITY,MOD_ID,NBT,TEMPERATURE,UNLOCALIZED_NAME,VISCOSITY
f~GalacticraftMars~liquidargon,900,1250,false,fluid/GalacticraftMars/liquidargon.png,liquidargon,Liquid Argon,0,GalacticraftMars,,87,fluid.liquidargon,100
f~GalaxySpace~biofuel,600,1238,false,fluid/GalaxySpace/biofuel.png,biofuel,Biofuel,0,GalaxySpace,,300,fluid.biofuel,2500
f~GalaxySpace~liquidmethane,400,1237,false,fluid/GalaxySpace/liquidmethane.png,liquidmethane,Liquid Methane,0,GalaxySpace,,300,fluid.liquidmethane,2500
f~GalaxySpace~unknowwater,400,1239,false,fluid/GalaxySpace/unknowwater.png,unknowwater,Unknown Liquid,0,GalaxySpace,,300,fluid.unknowwater,3000
f~Genetics~binnie.bacteria,1000,94,false,fluid/Genetics/binnie.bacteria.png,binnie.bacteria,Bacteria,0,Genetics,,300,fluid.binnie.bacteria,1000
f~Genetics~binnie.bacteriapoly,1000,95,false,fluid/Genetics/binnie.bacteriapoly.png,binnie.bacteriapoly,Polymerizing Bacteria,0,Genetics,,300,fluid.binnie.bacteriaPoly,1000
f~Genetics~binnie.bacteriavector,1000,97,false,fluid/Genetics/binnie.bacteriavector.png,binnie.bacteriavector,Bacteria Vector,0,Genetics,,300,fluid.binnie.bacteriaVector,1000
f~Genetics~binnie.dna.raw,1000,96,false,fluid/Genetics/binnie.dna.raw.png,binnie.dna.raw,Liquid DNA,0,Genetics,,300,fluid.binnie.dna.raw,1000
f~Genetics~binnie.growthmedium,1000,93,false,fluid/Genetics/binnie.growthmedium.png,binnie.growthmedium,Growth Medium,0,Genetics,,300,fluid.binnie.growthMedium,1000
f~GoodGenerator~combustionpromotor,1000,973,false,fluid/GoodGenerator/combustionpromotor.png,combustionpromotor,Combustion Promoter,0,GoodGenerator,,300,fluid.combustionPromotor,1000
f~GoodGenerator~fluid.coaltar,1000,974,false,fluid/GoodGenerator/fluid.coaltar.png,fluid.coaltar,Coal Tar,0,GoodGenerator,,450,fluid.fluid.coalTar,1000
f~GoodGenerator~heavilycrackedheavynaquadahfuel,1000,969,false,fluid/GoodGenerator/heavilycrackedheavynaquadahfuel.png,heavilycrackedheavynaquadahfuel,Severely Cracked Heavy Naquadah Fuel,0,GoodGenerator,,1200,fluid.heavilyCrackedHeavyNaquadahFuel,1000
f~GoodGenerator~heavilycrackedlightnaquadahfuel,1000,966,false,fluid/GoodGenerator/heavilycrackedlightnaquadahfuel.png,heavilycrackedlightnaquadahfuel,Severely Cracked Light Naquadah Fuel,0,GoodGenerator,,1200,fluid.heavilyCrackedLightNaquadahFuel,1000
f~GoodGenerator~heavilycrackednaquadahasphalt,20000,972,false,fluid/GoodGenerator/heavilycrackednaquadahasphalt.png,heavilycrackednaquadahasphalt,Severely Cracked Naquadah Asphalt,0,GoodGenerator,,1800,fluid.heavilyCrackedNaquadahAsphalt,20000
f~GoodGenerator~heavilycrackednaquadahgas,1000,963,true,fluid/GoodGenerator/heavilycrackednaquadahgas.png,heavilycrackednaquadahgas,Severely Cracked Naquadah Gas,0,GoodGenerator,,800,fluid.heavilyCrackedNaquadahGas,1000
f~GoodGenerator~lightlycrackedheavynaquadahfuel,1000,967,false,fluid/GoodGenerator/lightlycrackedheavynaquadahfuel.png,lightlycrackedheavynaquadahfuel,Lightly Cracked Heavy Naquadah Fuel,0,GoodGenerator,,1200,fluid.lightlyCrackedHeavyNaquadahFuel,1000
f~GoodGenerator~lightlycrackedlightnaquadahfuel,1000,964,false,fluid/GoodGenerator/lightlycrackedlightnaquadahfuel.png,lightlycrackedlightnaquadahfuel,Lightly Cracked Light Naquadah Fuel,0,GoodGenerator,,1200,fluid.lightlyCrackedLightNaquadahFuel,1000
f~GoodGenerator~lightlycrackednaquadahasphalt,20000,970,false,fluid/GoodGenerator/lightlycrackednaquadahasphalt.png,lightlycrackednaquadahasphalt,Lightly Cracked Naquadah Asphalt,0,GoodGenerator,,1800,fluid.lightlyCrackedNaquadahAsphalt,20000
f~GoodGenerator~lightlycrackednaquadahgas,1000,961,true,fluid/GoodGenerator/lightlycrackednaquadahgas.png,lightlycrackednaquadahgas,Lightly Cracked Naquadah Gas,0,GoodGenerator,,800,fluid.lightlyCrackedNaquadahGas,1000
f~GoodGenerator~moderatelycrackedheavynaquadahfuel,1000,968,false,fluid/GoodGenerator/moderatelycrackedheavynaquadahfuel.png,moderatelycrackedheavynaquadahfuel,Moderately Cracked Heavy Naquadah Fuel,0,GoodGenerator,,1200,fluid.moderatelyCrackedHeavyNaquadahFuel,1000
f~GoodGenerator~moderatelycrackedlightnaquadahfuel,1000,965,false,fluid/GoodGenerator/moderatelycrackedlightnaquadahfuel.png,moderatelycrackedlightnaquadahfuel,Moderately Cracked Light Naquadah Fuel,0,GoodGenerator,,1200,fluid.moderatelyCrackedLightNaquadahFuel,1000
f~GoodGenerator~moderatelycrackednaquadahasphalt,20000,971,false,fluid/GoodGenerator/moderatelycrackednaquadahasphalt.png,moderatelycrackednaquadahasphalt,Moderately Cracked Naquadah Asphalt,0,GoodGenerator,,1800,fluid.moderatelyCrackedNaquadahAsphalt,20000
f~GoodGenerator~moderatelycrackednaquadahgas,1000,962,true,fluid/GoodGenerator/moderatelycrackednaquadahgas.png,moderatelycrackednaquadahgas,Moderately Cracked Naquadah Gas,0,GoodGenerator,,800,fluid.moderatelyCrackedNaquadahGas,1000
f~GoodGenerator~supercriticalsteam,1000,975,true,fluid/GoodGenerator/supercriticalsteam.png,supercriticalsteam,Supercritical Steam,0,GoodGenerator,,648,fluid.supercriticalSteam,1000
f~HardcoreEnderExpansion~endergoo,1500,58,false,fluid/HardcoreEnderExpansion/endergoo.png,endergoo,Ender Goo,0,HardcoreEnderExpansion,,220,fluid.enderGoo,1500
f~IC2~ic2biogas,1000,9,true,fluid/IC2/ic2biogas.png,ic2biogas,Biogas,0,IC2,,300,ic2.fluidBiogas,3000
f~IC2~ic2biomass,1000,8,false,fluid/IC2/ic2biomass.png,ic2biomass,Biomass,0,IC2,,300,ic2.fluidBiomass,3000
f~IC2~ic2constructionfoam,10000,4,false,fluid/IC2/ic2constructionfoam.png,ic2constructionfoam,Construction Foam,0,IC2,,300,ic2.fluidConstructionFoam,50000
f~IC2~ic2coolant,1000,5,false,fluid/IC2/ic2coolant.png,ic2coolant,IC2 Coolant,0,IC2,,300,ic2.fluidCoolant,3000
f~IC2~ic2distilledwater,1000,10,false,fluid/IC2/ic2distilledwater.png,ic2distilledwater,Distilled Water,0,IC2,,300,ic2.fluidDistilledWater,1000
f~IC2~ic2hotcoolant,1000,6,false,fluid/IC2/ic2hotcoolant.png,ic2hotcoolant,IC2 Hot Coolant,0,IC2,,1200,ic2.fluidHotCoolant,3000
f~IC2~ic2hotwater,1000,13,false,fluid/IC2/ic2hotwater.png,ic2hotwater,Heated Water,0,IC2,,350,ic2.fluidHotWater,1000
f~IC2~ic2pahoehoelava,50000,7,false,fluid/IC2/ic2pahoehoelava.png,ic2pahoehoelava,Pahoehoe Lava,10,IC2,,1200,ic2.fluidPahoehoeLava,250000
f~IC2~ic2steam,-800,12,true,fluid/IC2/ic2steam.png,ic2steam,Steam,0,IC2,,420,ic2.fluidSteam,300
f~IC2~ic2superheatedsteam,-3000,11,true,fluid/IC2/ic2superheatedsteam.png,ic2superheatedsteam,Superheated Steam,0,IC2,,600,ic2.fluidSuperheatedSteam,100
f~IC2~ic2uumatter,3000,3,false,fluid/IC2/ic2uumatter.png,ic2uumatter,UU-Matter,0,IC2,,300,ic2.fluidUuMatter,3000
f~OpenBlocks~xpjuice,800,976,false,fluid/OpenBlocks/xpjuice.png,xpjuice,Liquid XP,10,OpenBlocks,,300,fluid.OpenBlocks.xpjuice,1500
f~Railcraft~creosote,800,68,false,fluid/Railcraft/creosote.png,creosote,Creosote Oil,0,Railcraft,,295,fluid.creosote,1500
f~Railcraft~steam,-1000,69,true,fluid/Railcraft/steam.png,steam,Steam,0,Railcraft,,375,fluid.steam,500
f~TConstruct~aluminum.molten,3000,22,false,fluid/TConstruct/aluminum.molten.png,aluminum.molten,Molten Aluminum,12,TConstruct,,1300,fluid.aluminum.molten,6000
f~TConstruct~aluminumbrass.molten,3000,26,false,fluid/TConstruct/aluminumbrass.molten.png,aluminumbrass.molten,Molten Aluminum Brass,12,TConstruct,,1300,fluid.aluminumbrass.molten,6000
f~TConstruct~alumite.molten,3000,28,false,fluid/TConstruct/alumite.molten.png,alumite.molten,Molten Obzinite,12,TConstruct,,1300,fluid.alumite.molten,6000
f~TConstruct~ardite.molten,3000,24,false,fluid/TConstruct/ardite.molten.png,ardite.molten,Molten Ardite,12,TConstruct,,1300,fluid.ardite.molten,6000
f~TConstruct~blood,3000,46,false,fluid/TConstruct/blood.png,blood,Blood,0,TConstruct,,1300,fluid.blood,6000
f~TConstruct~bronze.molten,3000,25,false,fluid/TConstruct/bronze.molten.png,bronze.molten,Molten Bronze,12,TConstruct,,1300,fluid.bronze.molten,6000
f~TConstruct~cobalt.molten,3000,23,false,fluid/TConstruct/cobalt.molten.png,cobalt.molten,Molten Cobalt,12,TConstruct,,1300,fluid.cobalt.molten,6000
f~TConstruct~copper.molten,3000,20,false,fluid/TConstruct/copper.molten.png,copper.molten,Molten Copper,12,TConstruct,,1300,fluid.copper.molten,6000
f~TConstruct~electrum.molten,3000,40,false,fluid/TConstruct/electrum.molten.png,electrum.molten,Molten Electrum,12,TConstruct,,1300,fluid.electrum.molten,6000
f~TConstruct~emerald.liquid,3000,33,false,fluid/TConstruct/emerald.liquid.png,emerald.liquid,Liquified Emerald,12,TConstruct,,1300,fluid.emerald.liquid,6000
f~TConstruct~ender,3000,41,false,fluid/TConstruct/ender.png,ender,Liquid Ender,0,TConstruct,,295,fluid.ender,6000
f~TConstruct~enderium.molten,3000,45,false,fluid/TConstruct/enderium.molten.png,enderium.molten,Molten Enderium,12,TConstruct,,1300,fluid.enderium.molten,6000
f~TConstruct~glass.molten,3000,31,false,fluid/TConstruct/glass.molten.png,glass.molten,Molten Glass,12,TConstruct,,1300,fluid.glass.molten,6000
f~TConstruct~glue,6000,47,false,fluid/TConstruct/glue.png,glue,Glue,0,TConstruct,,200,fluid.glue,6000
f~TConstruct~gold.molten,3000,19,false,fluid/TConstruct/gold.molten.png,gold.molten,Molten Gold,12,TConstruct,,1300,fluid.gold.molten,6000
f~TConstruct~invar.molten,3000,39,false,fluid/TConstruct/invar.molten.png,invar.molten,Molten Invar,12,TConstruct,,1300,fluid.invar.molten,6000
f~TConstruct~iron.molten,3000,18,false,fluid/TConstruct/iron.molten.png,iron.molten,Molten Iron,12,TConstruct,,1300,fluid.iron.molten,6000
f~TConstruct~lead.molten,3000,36,false,fluid/TConstruct/lead.molten.png,lead.molten,Molten Lead,12,TConstruct,,1300,fluid.lead.molten,6000
f~TConstruct~lumium.molten,3000,42,false,fluid/TConstruct/lumium.molten.png,lumium.molten,Molten Lumium,12,TConstruct,,1300,fluid.lumium.molten,6000
f~TConstruct~manyullyn.molten,3000,27,false,fluid/TConstruct/manyullyn.molten.png,manyullyn.molten,Molten Manyullyn,12,TConstruct,,1300,fluid.manyullyn.molten,6000
f~TConstruct~mithril.molten,3000,44,false,fluid/TConstruct/mithril.molten.png,mithril.molten,Molten Mana Infused Metal,12,TConstruct,,1300,fluid.mithril.molten,6000
f~TConstruct~nickel.molten,3000,35,false,fluid/TConstruct/nickel.molten.png,nickel.molten,Molten Nickel,12,TConstruct,,1300,fluid.nickel.molten,6000
f~TConstruct~obsidian.molten,3000,29,false,fluid/TConstruct/obsidian.molten.png,obsidian.molten,Molten Obsidian,12,TConstruct,,1300,fluid.obsidian.molten,6000
f~TConstruct~pigiron.molten,3000,48,false,fluid/TConstruct/pigiron.molten.png,pigiron.molten,Pig Iron,0,TConstruct,,1300,fluid.pigiron.molten,6000
f~TConstruct~platinum.molten,3000,38,false,fluid/TConstruct/platinum.molten.png,platinum.molten,Molten Shiny,12,TConstruct,,1300,fluid.platinum.molten,6000
f~TConstruct~quartz.molten,3000,34,false,fluid/TConstruct/quartz.molten.png,quartz.molten,Molten Nether Quartz,12,TConstruct,,1300,fluid.quartz.molten,6000
f~TConstruct~signalum.molten,3000,43,false,fluid/TConstruct/signalum.molten.png,signalum.molten,Molten Signalum,12,TConstruct,,1300,fluid.signalum.molten,6000
f~TConstruct~silver.molten,3000,37,false,fluid/TConstruct/silver.molten.png,silver.molten,Molten Silver,12,TConstruct,,1300,fluid.silver.molten,6000
f~TConstruct~slime.blue,1000,17,false,fluid/TConstruct/slime.blue.png,slime.blue,Liquid Blueslime,0,TConstruct,,300,fluid.slime.blue,1000
f~TConstruct~steel.molten,3000,30,false,fluid/TConstruct/steel.molten.png,steel.molten,Molten Steel,12,TConstruct,,1300,fluid.steel.molten,6000
f~TConstruct~stone.seared,3000,32,false,fluid/TConstruct/stone.seared.png,stone.seared,Seared Stone,12,TConstruct,,1300,fluid.stone.seared,6000
f~TConstruct~tin.molten,3000,21,false,fluid/TConstruct/tin.molten.png,tin.molten,Molten Tin,12,TConstruct,,1300,fluid.tin.molten,6000
f~Thaumcraft~fluiddeath,1000,16,false,fluid/Thaumcraft/fluiddeath.png,fluiddeath,Liquid Death,8,Thaumcraft,,300,fluid.fluidDeath,1500
f~Thaumcraft~fluidpure,1000,15,false,fluid/Thaumcraft/fluidpure.png,fluidpure,Purifying Fluid,10,Thaumcraft,,300,fluid.fluidPure,1000
f~Thaumcraft~fluxgoo,8,14,false,fluid/Thaumcraft/fluxgoo.png,fluxgoo,Flux Goo,7,Thaumcraft,,300,fluid.fluxGoo,6000
f~ToxicEverglades~sludge,1800,1240,false,fluid/ToxicEverglades/sludge.png,sludge,sludge,2,ToxicEverglades,,300,fluid.sludge,25000
f~adventurebackpack~melonjuice,1000,50,false,fluid/adventurebackpack/melonjuice.png,melonjuice,Melon Juice,0,adventurebackpack,,300,fluid.melonJuice,1000
f~adventurebackpack~milk,1200,49,false,fluid/adventurebackpack/milk.png,milk,Milk,0,adventurebackpack,,290,fluid.milk,1200
f~adventurebackpack~mushroomstew,1200,51,false,fluid/adventurebackpack/mushroomstew.png,mushroomstew,fluid.mushroomStew,0,adventurebackpack,,300,fluid.mushroomStew,1200
"f~bartworks~1,4-butanediol",1000,1406,false,"fluid/bartworks/1,4-butanediol.png","1,4-butanediol","1,4-Butanediol",0,bartworks,,300,"fluid.1,4-butanediol",1000
f~bartworks~2-ethyl-1-hexanol,1000,1344,false,fluid/bartworks/2-ethyl-1-hexanol.png,2-ethyl-1-hexanol,2-Ethyl-1-Hexanol,0,bartworks,,300,fluid.2-ethyl-1-hexanol,1000
f~bartworks~acid naquadah emulsion,1000,1326,false,fluid/bartworks/acid naquadah emulsion.png,acid naquadah emulsion,Acid Naquadah Emulsion,0,bartworks,,300,fluid.acid naquadah emulsion,1000
f~bartworks~acidic iridium solution,1000,1287,false,fluid/bartworks/acidic iridium solution.png,acidic iridium solution,Acidic Iridium Solution,0,bartworks,,300,fluid.acidic iridium solution,1000
f~bartworks~acidic osmium solution,1000,1285,false,fluid/bartworks/acidic osmium solution.png,acidic osmium solution,Acidic Osmium Solution,0,bartworks,,300,fluid.acidic osmium solution,1000
f~bartworks~ammonium chloride,1000,1274,false,fluid/bartworks/ammonium chloride.png,ammonium chloride,Ammonium Chloride,0,bartworks,,300,fluid.ammonium chloride,1000
f~bartworks~ammonium nitrate solution,1000,1392,false,fluid/bartworks/ammonium nitrate solution.png,ammonium nitrate solution,Ammonium Nitrate Solution,0,bartworks,,300,fluid.ammonium nitrate solution,1000
f~bartworks~antimony pentachloride,1000,1323,false,fluid/bartworks/antimony pentachloride.png,antimony pentachloride,Antimony Pentachloride,0,bartworks,,300,fluid.antimony pentachloride,1000
f~bartworks~antimony pentachloride solution,1000,1322,false,fluid/bartworks/antimony pentachloride solution.png,antimony pentachloride solution,Antimony Pentachloride Solution,0,bartworks,,300,fluid.antimony pentachloride solution,1000
f~bartworks~antimony pentafluoride,1000,1324,false,fluid/bartworks/antimony pentafluoride.png,antimony pentafluoride,Antimony Pentafluoride,0,bartworks,,300,fluid.antimony pentafluoride,1000
f~bartworks~antimony pentafluoride solution,1000,1379,false,fluid/bartworks/antimony pentafluoride solution.png,antimony pentafluoride solution,Antimony Pentafluoride Solution,0,bartworks,,300,fluid.antimony pentafluoride solution,1000
f~bartworks~antimony trichloride solution,1000,1321,false,fluid/bartworks/antimony trichloride solution.png,antimony trichloride solution,Antimony Trichloride Solution,0,bartworks,,300,fluid.antimony trichloride solution,1000
f~bartworks~aqua regia,1000,1273,false,fluid/bartworks/aqua regia.png,aqua regia,Aqua Regia,0,bartworks,,300,fluid.aqua regia,1000
f~bartworks~barnadafisarboriatorisfluid,1000,1266,false,fluid/bartworks/barnadafisarboriatorisfluid.png,barnadafisarboriatorisfluid,Barnadafis Arboriatoris Fluid,0,bartworks,,300,fluid.barnadafisarboriatorisfluid,1000
f~bartworks~bastnasite rarer earth oxide suspension,1000,1404,false,fluid/bartworks/bastnasite rarer earth oxide suspension.png,bastnasite rarer earth oxide suspension,Bastnasite Rarer Earth Oxide Suspension,0,bartworks,,300,fluid.bastnasite rarer earth oxide suspension,1000
f~bartworks~binnibacteriafluid,1000,1268,false,fluid/bartworks/binnibacteriafluid.png,binnibacteriafluid,Binni Bacteria Fluid,0,bartworks,,300,fluid.binnibacteriafluid,1000
f~bartworks~boron trichloride,1000,1464,false,fluid/bartworks/boron trichloride.png,boron trichloride,Boron Trichloride,0,bartworks,,300,fluid.boron trichloride,1000
f~bartworks~calcium chloride,1000,1281,false,fluid/bartworks/calcium chloride.png,calcium chloride,Calcium Chloride,0,bartworks,,300,fluid.calcium chloride,1000
f~bartworks~calcium fluoride,1000,1405,false,fluid/bartworks/calcium fluoride.png,calcium fluoride,Calcium Fluoride,0,bartworks,,300,fluid.calcium fluoride,1000
f~bartworks~cerium chloride concentrate,1000,1448,false,fluid/bartworks/cerium chloride concentrate.png,cerium chloride concentrate,Cerium Chloride Concentrate,0,bartworks,,300,fluid.cerium chloride concentrate,1000
f~bartworks~cerium extracting nano resin,1000,1422,false,fluid/bartworks/cerium extracting nano resin.png,cerium extracting nano resin,Cerium Extracting Nano Resin,0,bartworks,,300,fluid.cerium extracting nano resin,1000
f~bartworks~chlorinated rare earth concentrate,1000,1415,false,fluid/bartworks/chlorinated rare earth concentrate.png,chlorinated rare earth concentrate,Chlorinated Rare Earth Concentrate,0,bartworks,,300,fluid.chlorinated rare earth concentrate,1000
f~bartworks~chlorinated rare earth diluted solution,1000,1417,false,fluid/bartworks/chlorinated rare earth diluted solution.png,chlorinated rare earth diluted solution,Chlorinated Rare Earth Diluted Solution,0,bartworks,,300,fluid.chlorinated rare earth diluted solution,1000
f~bartworks~chlorinated rare earth enriched solution,1000,1416,false,fluid/bartworks/chlorinated rare earth enriched solution.png,chlorinated rare earth enriched solution,Chlorinated Rare Earth Enriched Solution,0,bartworks,,300,fluid.chlorinated rare earth enriched solution,1000
f~bartworks~conditioned bastnasite mud,1000,1400,false,fluid/bartworks/conditioned bastnasite mud.png,conditioned bastnasite mud,Conditioned Bastnasite Mud,0,bartworks,,300,fluid.conditioned bastnasite mud,1000
f~bartworks~cyclopentadiene,1000,1361,false,fluid/bartworks/cyclopentadiene.png,cyclopentadiene,Cyclopentadiene,0,bartworks,,300,fluid.cyclopentadiene,1000
f~bartworks~diaminotoluene,1000,1408,false,fluid/bartworks/diaminotoluene.png,diaminotoluene,Diaminotoluene,0,bartworks,,300,fluid.diaminotoluene,1000
f~bartworks~diethylamine,1000,1363,false,fluid/bartworks/diethylamine.png,diethylamine,Diethylamine,0,bartworks,,300,fluid.diethylamine,1000
f~bartworks~diluted acetone,1000,1410,false,fluid/bartworks/diluted acetone.png,diluted acetone,Diluted Acetone,0,bartworks,,300,fluid.diluted acetone,1000
f~bartworks~diluted bastnasite mud,1000,1401,false,fluid/bartworks/diluted bastnasite mud.png,diluted bastnasite mud,Diluted Bastnasite Mud,0,bartworks,,300,fluid.diluted bastnasite mud,1000
f~bartworks~diluted monazite rare earth mud,1000,1388,false,fluid/bartworks/diluted monazite rare earth mud.png,diluted monazite rare earth mud,Diluted Monazite Rare Earth Mud,0,bartworks,,300,fluid.diluted monazite rare earth mud,1000
f~bartworks~diluted monazite sulfate,1000,1389,false,fluid/bartworks/diluted monazite sulfate.png,diluted monazite sulfate,Diluted Monazite Sulfate,0,bartworks,,300,fluid.diluted monazite sulfate,1000
f~bartworks~diluted samarium rare earth solution,1000,1413,false,fluid/bartworks/diluted samarium rare earth solution.png,diluted samarium rare earth solution,Diluted Samarium Rare Earth Solution,0,bartworks,,300,fluid.diluted samarium rare earth solution,1000
f~bartworks~dinitrotoluene,1000,1407,false,fluid/bartworks/dinitrotoluene.png,dinitrotoluene,Dinitrotoluene,0,bartworks,,300,fluid.dinitrotoluene,1000
f~bartworks~dysprosium chloride concentrate,1000,1455,false,fluid/bartworks/dysprosium chloride concentrate.png,dysprosium chloride concentrate,Dysprosium Chloride Concentrate,0,bartworks,,300,fluid.dysprosium chloride concentrate,1000
